Date,Clicks,Impressions,CTR,Position
2025-09-14,0,99,0%,18.1
2025-09-15,4,80,5%,25.3
2025-09-16,1,58,1.72%,26.7
2025-09-17,4,77,5.19%,23.4
2025-09-18,3,99,3.03%,19
2025-09-19,3,130,2.31%,25.2
2025-09-20,3,85,3.53%,19.3
2025-09-21,0,87,0%,20.4
2025-09-22,6,78,7.69%,13.9
2025-09-23,4,81,4.94%,20.4
2025-09-24,3,126,2.38%,26.8
2025-09-25,3,93,3.23%,19.6
2025-09-26,1,99,1.01%,17.4
2025-09-27,3,122,2.46%,21.4
2025-09-28,0,102,0%,21.8
2025-09-29,1,101,0.99%,30.5
2025-09-30,3,73,4.11%,28.8
2025-10-01,3,135,2.22%,27.3
2025-10-02,3,86,3.49%,15.1
2025-10-03,5,124,4.03%,17.9
2025-10-04,1,145,0.69%,17.2
2025-10-05,2,100,2%,16
2025-10-06,2,128,1.56%,18.3
2025-10-07,32,426,7.51%,11.8
2025-10-08,33,505,6.53%,11.1
2025-10-09,31,482,6.43%,10.6
2025-10-10,55,605,9.09%,8.6
2025-10-11,50,777,6.44%,8.1
2025-10-12,41,654,6.27%,8.3
2025-10-13,40,598,6.69%,14.9
2025-10-14,28,477,5.87%,10.5
2025-10-15,50,522,9.58%,13.7
2025-10-16,75,862,8.70%,7
2025-10-17,407,3540,11.50%,11.9
2025-10-18,322,3556,9.06%,14.5
2025-10-19,217,2493,8.70%,4.8
2025-10-20,283,2401,11.79%,4.7
2025-10-21,247,2451,10.08%,5.9
2025-10-22,272,2515,10.82%,5
2025-10-23,354,2540,13.94%,4.9
2025-10-24,430,3369,12.76%,4.5
2025-10-25,376,3517,10.69%,4.3
2025-10-26,315,2905,10.84%,4.8
2025-10-27,255,2277,11.20%,4.9
2025-10-28,351,2750,12.76%,5.1
2025-10-29,268,2920,9.18%,5.7
2025-10-30,368,3408,10.80%,6.2
2025-10-31,467,5540,8.43%,8
2025-11-01,592,7735,7.65%,9.7
2025-11-02,557,7400,7.53%,13.2
2025-11-03,563,6092,9.24%,11.4
2025-11-04,458,5153,8.89%,10.9
2025-11-05,446,5259,8.48%,12.2
2025-11-06,464,5731,8.10%,11.4
2025-11-07,622,7741,8.04%,11.8
2025-11-08,619,8261,7.49%,12.4
2025-11-09,484,6537,7.40%,11
2025-11-10,401,5289,7.58%,12.1
2025-11-11,420,6288,6.68%,14.1
2025-11-12,385,4706,8.18%,9.8
2025-11-13,384,6538,5.87%,15.9
2025-11-14,585,7041,8.31%,11.1
2025-11-15,670,8762,7.65%,12.3
2025-11-16,502,6994,7.18%,12
2025-11-17,369,5727,6.44%,14
2025-11-18,362,4535,7.98%,10.6
2025-11-19,436,6479,6.73%,16
2025-11-20,515,7057,7.30%,16.4
2025-11-21,653,8974,7.28%,15.3
2025-11-22,694,9416,7.37%,13.3
2025-11-23,568,9263,6.13%,14.2
2025-11-24,547,8957,6.11%,15.4
2025-11-25,568,7308,7.77%,11.8
2025-11-26,544,9496,5.73%,16.3
2025-11-27,248,8066,3.07%,16.5
2025-11-28,442,5555,7.96%,6.8
2025-11-29,589,8220,7.17%,13.5
2025-11-30,674,9326,7.23%,16.9
2025-12-01,439,7990,5.49%,18.3
2025-12-02,635,6959,9.12%,13.1
2025-12-03,676,9186,7.36%,16.7
2025-12-04,663,8356,7.93%,17
2025-12-05,755,11730,6.44%,17.3
2025-12-06,930,13205,7.04%,12.3
2025-12-07,685,10585,6.47%,14.1
2025-12-08,500,8580,5.83%,16.8
2025-12-09,611,7024,8.70%,9.9
2025-12-10,762,9367,8.13%,11.9
2025-12-11,813,10967,7.41%,14.5
2025-12-12,1047,14440,7.25%,15.6
2025-12-13,1074,14356,7.48%,13.3